OID_,FID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len,DEM_min,DEM_mean,DEM_max,DEM_std,FloAc_rang,FloAc_mean,FloAc_std,FlowAc_max,Haz_major,Haz_max,FloDir_maj,FloDir_mea,FloDir_std,2010_POP,2015_POP,2021_POP
988,988,48,201,550902,48201550902,5509.02,Census Tract 5509.02,G5020,S,1523472,0,29.9607733,-95.4895385,2036555.5390625,7488.3035327260495,29,33.5167999,36.0,0.754287,2902.0,19.7474003,112.0370026,2902.0,0.0,0.0,4.0,27.4344997,45.1929016,,,
989,989,48,201,550404,48201550404,5504.04,Census Tract 5504.04,G5020,S,3033660,0,29.9698614,-95.4555684,4056083.4101562495,11639.2418141025,24,31.1107998,33.0,1.0911,4195.0,35.1169014,205.8220062,4195.0,1.0,1.0,64.0,38.1713982,43.4211998,,,
990,990,48,201,313201,48201313201,3132.01,Census Tract 3132.01,G5020,S,1415242,15914,29.7064172,-95.3504938,1903528.4140625,6608.057652751329,0,11.1461,13.0,1.67896,2489.0,25.6734009,128.9340057,2489.0,1.0,1.0,64.0,35.6609993,40.2294006,,,
991,991,48,201,411302,48201411302,4113.02,Census Tract 4113.02,G5020,S,543759,0,29.7439794,-95.4530532,723772.3203125,3638.53745374174,15,18.1179008,26.0,0.925915,1019.0,9.7569599,35.1365013,1019.0,0.0,0.0,1.0,30.3068008,49.1959,,,
992,992,48,201,510803,48201510803,5108.03,Census Tract 5108.03,G5020,S,809567,35920,29.7607793,-95.4191067,1125776.77734375,7318.236651039009,0,12.0135002,18.0,4.63833,6192.0,53.8558006,402.8670044,6192.0,2.0,2.0,4.0,21.5583992,39.2279015,,,
993,993,48,201,552004,48201552004,5520.04,Census Tract 5520.04,G5020,S,1746873,0,29.9095372,-95.5949663,2332812.95703125,6975.84284224455,33,35.9612007,37.0,0.691938,3440.0,30.3521996,158.8619995,3440.0,0.0,0.0,1.0,23.8747005,39.3322983,,,
994,994,48,201,551902,48201551902,5519.02,Census Tract 5519.02,G5020,S,1413479,0,29.9001735,-95.5905766,1887241.0703125,7175.34936277492,31,34.8354988,36.0,0.682994,4364.0,34.0113983,217.2389984,4364.0,0.0,0.0,1.0,26.9139996,41.9210014,,,
995,995,48,201,250101,48201250101,2501.01,Census Tract 2501.01,G5020,S,8120729,35478,29.9610718,-95.2772815,10903138.1953125,14925.2366407894,16,21.8568993,34.0,1.70166,11336.0,30.8915005,282.6809998,11336.0,1.0,2.0,4.0,28.2486992,44.5379982,,,
996,996,48,201,553602,48201553602,5536.02,Census Tract 5536.02,G5020,S,1858724,42385,30.0293005,-95.4867693,2544743.80859375,10778.9321141534,23,33.5261002,39.0,3.6533599,6250.0,58.4550018,437.5450134,6250.0,2.0,2.0,4.0,23.9937,42.6329994,,,
997,997,48,201,454303,48201454303,4543.03,Census Tract 4543.03,G5020,S,1435134,0,29.7144662,-95.6519492,1909122.140625,5708.09940808318,20,25.8512001,31.0,1.21311,6806.0,24.0853996,177.4440002,6806.0,1.0,1.0,4.0,25.7364006,39.2533989,,,
998,998,48,201,556100,48201556100,5561.0,Census Tract 5561,G5020,S,2125063,0,30.021634,-95.5443711,2844196.15234375,8982.91574254725,37,41.2596016,44.0,0.887423,3395.0,23.7049999,128.5910034,3395.0,0.0,0.0,4.0,25.8532009,41.1571999,,,
999,999,48,201,554806,48201554806,5548.06,Census Tract 5548.06,G5020,S,4482793,8948,30.059152,-95.5981573,6016315.85546875,10666.7157360363,42,47.6603012,54.0,1.54348,2651.0,24.2590008,114.8570023,2651.0,1.0,2.0,4.0,30.2591,45.6405983,,,
1000,1000,48,201,554803,48201554803,5548.03,Census Tract 5548.03,G5020,S,15776405,103604,30.0786071,-95.5810113,21283637.4765625,23965.2658934044,36,47.3014984,55.0,3.70421,11398.0,43.7342987,304.0450134,11398.0,2.0,2.0,1.0,28.2073994,46.6228981,,,
1001,1001,48,201,554702,48201554702,5547.02,Census Tract 5547.02,G5020,S,3107766,1375,30.005473,-95.601681,4159789.9296875,9088.760498778602,35,42.3711014,45.0,1.25308,4353.0,35.4015999,223.4519958,4353.0,1.0,1.0,4.0,26.5580006,43.8325005,,,
1002,1002,48,201,553102,48201553102,5531.02,Census Tract 5531.02,G5020,S,1508659,0,30.0151924,-95.4595253,2018948.15625,7989.451059648319,29,34.9012985,36.0,1.00326,2694.0,22.7282009,110.0709991,2694.0,0.0,0.0,1.0,32.8143997,44.5149994,,,
1003,1003,48,201,980400,48201980400,9804.0,Census Tract 9804,G5020,S,1337653,0,29.7222846,-95.3445785,1779717.09765625,5306.33317867276,8,11.5462999,15.0,0.735897,4012.0,30.7619991,191.3630066,4012.0,0.0,0.0,4.0,33.4143982,50.9616013,,,
1004,1004,48,201,980200,48201980200,9802.0,Census Tract 9802,G5020,S,662528,36430,29.7663846,-95.3513042,930778.1484375,5282.01402241478,0,9.7249002,17.0,3.1832399,11091.0,133.1029968,999.3259888,11091.0,2.0,2.0,4.0,37.9411011,65.407402,,,
1005,1005,48,201,432804,48201432804,4328.04,Census Tract 4328.04,G5020,S,1941551,0,29.7183288,-95.5067597,2583005.8046875,8239.78655246674,16,19.9113998,28.0,0.617838,5886.0,42.8540993,336.9169922,5886.0,0.0,0.0,1.0,34.0509987,44.7299004,,,
1006,1006,48,201,453202,48201453202,4532.02,Census Tract 4532.02,G5020,S,1317231,0,29.6801873,-95.565005,1751100.80859375,5428.37739145715,17,21.8754997,29.0,0.81898,1687.0,15.7912998,75.7714005,1687.0,1.0,1.0,64.0,43.0920982,51.6076012,,,
1007,1007,48,201,333100,48201333100,3331.0,Census Tract 3331,G5020,S,1211152,36257,29.6765273,-95.2786693,1658124.3515625,6087.91698332362,0,8.6011896,12.0,2.1825399,36153.0,167.7680054,2081.5800781,36153.0,1.0,1.0,64.0,38.3741989,40.3011017,3390.0,8084.0,3459.0
1008,1008,48,201,350300,48201350300,3503.0,Census Tract 3503,G5020,S,2281501,0,29.5828801,-95.2248554,3027181.859375,7041.328073109729,5,10.3325005,12.0,0.780485,3572.0,28.8076,192.6640015,3572.0,1.0,1.0,64.0,38.4595985,47.1971016,5724.0,7096.0,3468.0
1009,1009,48,201,350400,48201350400,3504.0,Census Tract 3504,G5020,S,2658323,7778,29.5956619,-95.2091822,3538372.4609375,7851.512052846859,5,9.3730297,16.0,0.727258,3032.0,23.6564999,149.8480072,3032.0,1.0,1.0,64.0,34.2195015,41.6901016,6081.0,7273.0,4996.0
1010,1010,48,201,350500,48201350500,3505.0,Census Tract 3505,G5020,S,5827107,27925,29.5816669,-95.1957301,7768564.12109375,12676.8696369458,4,8.9098396,15.0,0.940839,5843.0,24.5312004,161.0059967,5843.0,1.0,2.0,1.0,38.0984001,51.7785988,6616.0,3556.0,3608.0
1011,1011,48,201,420300,48201420300,4203.0,Census Tract 4203,G5020,S,2396613,9491,29.6705847,-95.454883,3198072.765625,7589.217287906929,8,16.3264008,23.0,1.00176,5428.0,32.4039993,217.8190002,5428.0,1.0,1.0,64.0,33.4654007,35.8414993,3442.0,2807.0,3727.0
1012,1012,48,201,420500,48201420500,4205.0,Census Tract 4205,G5020,S,2336592,1377,29.6483998,-95.4696509,3106192.859375,7870.482350571489,12,17.8915005,26.0,1.6928101,2527.0,21.9890003,125.8040009,2527.0,1.0,1.0,64.0,45.8400002,52.2206993,3742.0,3710.0,5897.0
1013,1013,48,201,980000,48201980000,9800.0,Census Tract 9800,G5020,S,5526299,26735,29.6471554,-95.2762041,7377154.9375,12117.5202640411,8,12.2903996,16.0,0.906743,7763.0,18.5305996,132.5449982,7763.0,1.0,1.0,1.0,39.6403008,57.4292984,,,
1014,1014,48,201,333600,48201333600,3336.0,Census Tract 3336,G5020,S,3693864,51484,29.6589549,-95.2992029,4976947.578125,10321.9832828291,0,10.1596003,13.0,1.96542,21089.0,84.4215012,860.322998,21089.0,1.0,2.0,64.0,38.5620003,33.7503014,2704.0,3698.0,4093.0
1015,1015,48,201,333700,48201333700,3337.0,Census Tract 3337,G5020,S,8945376,11233,29.6312779,-95.2926173,11896265.1992188,17516.9857833585,9,13.3533001,20.0,1.0806,5982.0,31.4141998,203.0299988,5982.0,0.0,0.0,64.0,36.9375992,42.6950989,3696.0,1692.0,4986.0
1016,1016,48,201,410300,48201410300,4103.0,Census Tract 4103,G5020,S,1015117,11673,29.7564318,-95.4041075,1367050.97265625,5045.15331604119,0,14.7820997,17.0,3.01844,1779.0,24.7073002,106.7659988,1779.0,0.0,0.0,64.0,40.0721016,38.6897011,2891.0,2532.0,4138.0
1017,1017,48,201,410900,48201410900,4109.0,Census Tract 4109,G5020,S,738130,163,29.7328602,-95.3980506,982487.6640625,6158.95579123947,7,14.9349003,21.0,1.1005599,20918.0,286.5230103,1592.9699707,20918.0,0.0,0.0,4.0,12.1127005,27.1590004,2435.0,4979.0,5255.0
1018,1018,48,201,420600,48201420600,4206.0,Census Tract 4206,G5020,S,1205215,0,29.6611026,-95.47013,1601584.80078125,6914.199729355169,13,17.1490993,20.0,0.766731,2087.0,21.3362007,114.0299988,2087.0,1.0,1.0,4.0,27.6742001,42.0382996,2297.0,2262.0,3707.0
1019,1019,48,201,420700,48201420700,4207.0,Census Tract 4207,G5020,S,2275967,19664,29.6722815,-95.4691967,3051267.83203125,8052.339847572199,8,16.0296001,23.0,1.07937,3533.0,34.1767006,213.1999969,3533.0,1.0,1.0,64.0,37.828701,40.1239014,3202.0,2677.0,4529.0
