+OID_,FID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len,DEM_min,DEM_mean,DEM_max,DEM_std,FloAc_rang,FloAc_mean,FloAc_std,FlowAc_max,Haz_major,Haz_max,FloDir_maj,FloDir_mea,FloDir_std,POP_2010_original,POP_2015_original,POP_2021_original,population_2021,population_2015,population_2010,growth_2010_2021_abs,growth_2010_2021_pct,growth_2010_2015_pct,growth_2015_2021_pct,area_sq_km,pop_density_2010,pop_density_2015,pop_density_2021
693,693,48,201,254200,48201254200,2542.0,Census Tract 2542,G5020,S,1260219,0,29.7287156,-94.9645049,1676906.2890625,5312.41777917873,6,8.6252699,10.0,0.80064,3243.0,28.6872005,170.6040039,3243.0,0.0,0.0,4.0,16.9603996,30.0513,3015.0,7452.0,1492.0,2769.0,2807.0,3015.0,-246.0,-8.159203980099502,-6.8988391376451075,-1.3537584609903812,1.260219,2392.441313771654,2227.3906360719843,2197.2371468768524
694,694,48,201,252400,48201252400,2524.0,Census Tract 2524,G5020,S,5321450,3697,29.7816516,-95.1428602,7093333.328125,11516.8267084583,0,7.7298799,17.0,1.28644,4076.0,25.6954994,156.7149963,4076.0,1.0,1.0,16.0,24.2455006,38.5709991,7652.0,5589.0,4370.0,5897.0,6631.0,7652.0,-1755.0,-22.93518034500784,-13.342916884474649,-11.06922032875886,5.32145,1437.9539411250694,1246.088941923724,1108.156611449887
695,695,48,201,313400,48201313400,3134.0,Census Tract 3134,G5020,S,1868601,0,29.694189,-95.3381856,2484755.83984375,8085.826912524439,7,11.2707996,20.0,0.650236,11453.0,61.7766991,475.723999,11453.0,0.0,0.0,64.0,38.9061012,40.0788002,2974.0,11590.0,2287.0,3515.0,2958.334965373316,2995.8263067852963,519.1736932147037,17.329899668709718,-1.2514524399183407,18.816835860114896,1.868601,1603.245586824205,1583.1817308100103,1881.0864384638562
696,696,48,201,313500,48201313500,3135.0,Census Tract 3135,G5020,S,1627578,0,29.6887139,-95.3478932,2164032.4296875,6200.81253952971,11,12.1476002,27.0,1.05296,2248.0,21.9190998,94.0330963,2248.0,0.0,0.0,64.0,41.7047005,46.6745987,2248.0,3806.0,2048.0,2455.0,2610.0,2248.0,207.0,9.208185053380783,16.10320284697509,-5.938697318007663,1.627578,1381.1934051701362,1603.609780913726,1508.3762498632939
697,697,48,201,313600,48201313600,3136.0,Census Tract 3136,G5020,S,2316519,0,29.6916477,-95.3575745,3080216.50390625,8131.839638518,7,12.4506998,21.0,0.634137,20658.0,98.2670975,622.3179932,20658.0,0.0,0.0,64.0,39.0528984,41.1324997,4533.0,4959.0,6503.0,5020.0,4566.0,4533.0,487.0,10.743437017427752,0.727994705493051,9.94305738063951,2.316519,1956.815376865029,1971.0608892048804,2167.0446044258647
698,698,48,201,313700,48201313700,3137.0,Census Tract 3137,G5020,S,1337501,0,29.6975415,-95.3665463,1778653.5703125,6142.65640878442,8,12.7048998,14.0,0.722428,4651.0,36.5181007,219.9589996,4651.0,0.0,0.0,1.0,31.5587006,40.3895988,2263.0,5826.0,3474.0,2184.0,2525.597081388012,2280.935935782547,-96.93593578254695,-4.249831582809889,10.726348853876358,-13.525398960323393,1.337501,1705.371387223297,1888.2954714710584,1632.895975404878
699,699,48,201,250500,48201250500,2505.0,Census Tract 2505,G5020,S,4561493,1189,29.9929597,-95.1954273,6103263.7734375,13251.5765000718,18,21.5149994,27.0,0.629583,12090.0,31.1371994,244.9700012,12090.0,0.0,0.0,4.0,29.0828991,50.7785988,5313.0,5571.0,4315.0,6266.0,5545.0,5313.0,953.0,17.937135328439677,4.366647844908714,13.002705139765554,4.561493,1164.750225419616,1215.610766036471,1373.6730495914387
700,700,48,201,253700,48201253700,2537.0,Census Tract 2537,G5020,S,4077314,9797,29.7654725,-94.973955,5442256.92578125,10777.4911202564,0,6.5285501,11.0,1.0430501,5418.0,27.0396004,171.0059967,5418.0,1.0,1.0,16.0,27.9853001,39.982399,5177.0,3674.0,1988.0,5955.0,5520.167000976832,5179.55220029622,775.4477997037802,14.971328982058182,6.576143796004848,7.877171088233761,4.077314,1270.334391782487,1353.873408076207,1460.520332748471
701,701,48,201,253800,48201253800,2538.0,Census Tract 2538,G5020,S,7547413,6642,29.766428,-94.9479552,10059268.203125,15485.9945580126,4,8.3066397,11.0,1.03722,3091.0,24.9675007,113.8740005,3091.0,0.0,0.0,16.0,29.4601002,40.0670013,7144.0,4660.0,10087.0,8752.0,7698.0,7144.0,1608.0,22.508398656215007,7.754759238521837,13.691868017666927,7.547413,946.5494998087424,1019.9521345923431,1159.6026347041034
702,702,48,201,253900,48201253900,2539.0,Census Tract 2539,G5020,S,4397870,152598,29.7529642,-94.9334749,6057728.6484375,14642.2667264011,0,6.14432,14.0,2.6008401,78609.0,350.6229858,4600.6899414,78609.0,1.0,2.0,1.0,23.0526009,39.8370018,3817.0,15940.0,6856.0,3838.0,4309.0,3817.0,21.0,0.5501702908042966,12.889703955986375,-10.930610350429335,4.39787,867.9201522555237,979.7924904556069,872.695191081137
